"EPCI","LIBEPCI","NATURE_EPCI"
"200041721","CC de la Haute Comté","CC"
"200041762","CA Rochefort Océan","CA"
"200041788","CA du Pays Nord Martinique","CA"
"200041853","CC du Pays de Montbozon et du Chanois","CC"
"200041861","CC du Triangle Vert","CC"
"200041879","CC Terres de Saône","CC"
"200041887","CC du Val Marnaysien","CC"
"200041960","CC Pévèle-Carembault","CC"
"200041994","CC du Haut Val de Sèvre","CC"
"200042000","CC Vologne-Durbion","CC"
"200042109","CC Fave, Meurthe, Galilée","CC"
"200042117","CC du Pays de Mirecourt","CC"
"200042125","CC Terre de Granite","CC"
"200042133","CC du Pays des Abbayes","CC"
"200042141","CC des Vallées de la Haute-Meurthe","CC"
"200042174","CA Lorient Agglomération","CA"
"200042182","CC du Mont des Avaloirs","CC"
"200042190","CA de la Porte du Hainaut","CA"
"200042323","CC du Mellois","CC"
"200042331","CC du Piémont Vosgien","CC"
"200042349","CC du Toulois","CC"
"200042372","CC des Coteaux Arrats Gimone","CC"
"200042380","CC Coeur de Bresse","CC"
"200042406","CC Saône, Seille, Sâne","CC"
"200042414","CC Bresse Revermont 71","CC"
"200042422","CC du Niolu","CC"
"200042430","CC de la Vallée du Golo","CC"
"200042463","CC de la Montagne Noire","CC"
"200042471","CC Cideral","CC"
"200042497","CC Dombes Saône Vallée","CC"
"200042513","CC Argentan Intercom","CC"
"200042596","CC des Dui-Sorru Cruzzini-Cinarca","CC"
"200042604","CC de Granville, Terre et Mer","CC"
"200042620","CC de Suippe et Vesle","CC"
"200042646","CC Avène - Bédarieux - Lamalou - Taussac - Le Bousquet d'Orb","CC"
"200042653","CC Canal-Lirou Saint-Chinianais","CC"
"200042695","CC Communauté du bocage coutançais","CC"
"200042703","CC de l'Argonne Champenoise","CC"
"200042711","CC du Coeur du Cotentin","CC"
"200042729","CC de la Baie du Cotentin","CC"
"200042794","CC du Nord Champenois","CC"
"200042828","CC Grand-Figeac","CC"
"200042901","CC Drôme Sud Provence","CC"
"200042919","CC Orezza-Ampugnani","CC"
"200042927","CC Tude et Dronne","CC"
"200042935","CC Haut - Bugey","CC"
"200042943","CC du Cap Corse","CC"
"200042976","CC Ardre et Châtillonnais","CC"
"200042984","CC d'Avranches-Mont-St-Michel","CC"
"200042992","CC Perthois-Bocage et Der","CC"
"200043008","CA de Châlons en Champagne","CA"
"200043016","CC pays Villefagnan Ruffec Trois Vallées","CC"
"200043065","CC du Val d Amboise","CC"
"200043081","CC Chinon, Vienne et Loire","CC"
"200043123","CC Auray Quiberon Terre Atlantique","CC"
"200043156","CC Du Pays Rethelois","CC"
"200043164","CC Val et Plateaux Bortois","CC"
"200043172","CA du Bassin de Brive","CA"
"200043255","CC Dinan communauté","CC"
"200043263","CC Coeur de l'Avesnois","CC"
"200043321","CC du Pays de Mormal","CC"
"200043354","CC Intercom du Bassin de Villedieu","CC"
"200043370","CA Saint-Lo Agglo","CA"
"200043388","CC Fismes Ardre et Vesle","CC"
"200043396","CA Maubeuge Val de Sambre","CA"
"200043404","CC du Sud Avesnois","CC"
"200043420","CC Côtes de Champagne et Saulx","CC"
"200043438","CC de la Moivre à la Coole","CC"
"200043487","CC du Limouxin","CC"
"200043495","CA du Pays de Laon","CA"
"200043602","CC des Albères et de la Côte Vermeille","CC"
"200043610","CC du Mirebalais","CC"
"200043628","CC des Vallées du Clain","CC"
"200043636","CC des Pays Civraisien et Charlois","CC"
"200043693","CC du pays de Longuyon et des Deux Rivières","CC"
"200043776","CC Pyrénées audoises","CC"
"200043909","CC du Pays de Saint-Flour Margeride","CC"
"200043917","CA du Bassin d'Annonay","CA"
"200043974","CC du Sud Gironde","CC"
"200043982","CC du Bazadais","CC"
"200043990","CC Vallons de Haute-Bretagne Communauté","CC"
"200044014","CC Creuse Grand Sud","CC"
"200044022","CA de Cambrai","CA"
"200044030","CC des 7 Vallées","CC"
"200044048","CC Osartis Marquion","CC"
"200044055","CA de Béthune Bruay Noeux et Environs","CA"
"200044170","CA de Saint-Dizier, Der et Blaise","CA"
"200044253","CC du bassin de Joinville en Champagne","CC"
"200044394","CC du Réolais en Sud Gironde","CC"
"200044469","CC du Pays de Mirepoix","CC"
"200044550","CC de l'Ouest Parisien","CC"
"200044618","CA du Douaisis [C.A.D.]","CA"
"200044691","CA du nord Grande Terre","CA"
"200044733","CA Seine & Vexin Com Agglo","CA"
"240100156","CC de Montrevel - en - Bresse","CC"
"240100339","CC du Canton de Saint Trivier de Courtes","CC"
"240100370","CC du Valromey","CC"
"240100396","CC de la Vallée de l'Albarine","CC"
"240100412","CC Rhône - Chartreuse de Portes","CC"
"240100578","CC du Plateau d'Hauteville","CC"
"240100594","CC Val de Saône - Chalaronne","CC"
"240100610","CC du Canton de Montluel","CC"
"240100628","CA Bourg en Bresse Agglomération","CA"
"240100636","CC de Treffort en Revermont","CC"
"240100651","CC du Canton de Coligny","CC"
"240100669","CC des Bords de Veyle","CC"
"240100677","CC du Canton de Chalamont","CC"
"240100685","CC du Canton de Pont de Vaux","CC"
"240100693","CC de la Vallière","CC"
"240100727","CC Montmerle Trois Rivières","CC"
"240100750","CC du Pays de Gex","CC"
"240100800","CC de Miribel et du Plateau","CC"
"240100818","CC du Pays de Bâgé","CC"
"240100826","CC du Canton de Pont de Veyle","CC"
"240100842","CC Bresse Dombes Sud Revermont","CC"
"240100875","CC Centre Dombes","CC"
"240100883","CC de la Plaine de l'Ain","CC"
"240100891","CC du Pays Bellegardien (CCPB)","CC"
"240200261","CA de Saint Quentin","CA"
"240200428","CC des Villes d'Oyse","CC"
"240200436","CC du Pays de la Vallée de l'Aisne","CC"
"240200444","CC de la Thiérache du Centre","CC"
"240200451","CC de la Thiérache d'Aumale","CC"
"240200469","CC du Pays de la Serre","CC"
"240200477","CA du Soissonnais","CA"
"240200485","CC de la Région de Guise","CC"
"240200493","CC du Pays du Vermandois","CC"
"240200501","CC du Val de l'Aisne","CC"
"240200519","CC du Canton d'Oulchy le Château","CC"
"240200527","CC du Canton de Saint Simon (C32S)","CC"
"240200550","CC du Canton de Condé en Brie","CC"
"240200568","CC de l'Ourcq et du Clignon","CC"
"240200576","CC de la Champagne Picarde","CC"
"240200584","CC du Canton de Charly sur Marne","CC"
"240200592","CC du Chemin des Dames","CC"
"240200600","CC du Pays des Trois Rivières","CC"
"240200618","CC de la Région de Château Thierry","CC"
"240200626","CC du Tardenois","CC"
"240200634","CC des Portes de la Thiérache","CC"
"240200642","CC du Val de l'Ailette","CC"
"240200659","CC des Vallons d'Anizy","CC"
"240200683","CC Chauny Tergnier","CC"
"240200691","CC Villers-Cotterêts - Forêt de Retz","CC"
"240300418","CC de la Montagne Bourbonnaise","CC"
"240300426","CA Vichy Val d'Allier","CA"
