"id","code_insee","code_postal","ville"
445,"02021","02360","ARCHON"
446,"02022","02130","ARCY STE RESTITUE"
447,"02023","02210","ARMENTIERES SUR OURCQ"
448,"02024","02860","ARRANCY"
449,"02025","02480","ARTEMPS"
450,"02026","02330","ARTONGES"
451,"02027","02270","ASSIS SUR SERRE"
452,"02028","02840","ATHIES SOUS LAON"
453,"02029","02490","ATTILLY"
454,"02030","02420","AUBENCHEUL AUX BOIS"
455,"02031","02500","AUBENTON"
456,"02032","02590","AUBIGNY AUX KAISNES"
457,"02033","02820","AUBIGNY EN LAONNOIS"
458,"02034","02300","AUDIGNICOURT"
459,"02035","02120","AUDIGNY"
460,"02036","02220","AUGY"
461,"02037","02000","AULNOIS SOUS LAON"
462,"02038","02360","LES AUTELS"
463,"02039","02250","AUTREMENCOURT"
464,"02040","02580","AUTREPPES"
465,"02041","02300","AUTREVILLE"
466,"02042","02400","AZY SUR MARNE"
467,"02043","02290","BAGNEUX"
468,"02044","02140","BANCIGNY"
469,"02046","02000","BARENTON BUGNY"
470,"02047","02000","BARENTON CEL"
471,"02048","02270","BARENTON SUR SERRE"
472,"02049","02700","BARISIS"
473,"02050","02170","BARZY EN THIERACHE"
474,"02051","02850","BARZY SUR MARNE"
475,"02052","02380","BASSOLES AULERS"
476,"02053","02330","BAULNE EN BRIE"
477,"02054","02220","BAZOCHES SUR VESLES"
478,"02055","02500","BEAUME"
479,"02056","02300","BEAUMONT EN BEINE"
480,"02057","02110","BEAUREVOIR"
481,"02058","02160","BEAURIEUX"
482,"02059","02800","BEAUTOR"
483,"02060","02590","BEAUVOIS EN VERMANDOIS"
484,"02061","02110","BECQUIGNY"
485,"02062","02400","BELLEAU"
486,"02063","02420","BELLENGLISE"
487,"02064","02200","BELLEU"
488,"02065","02420","BELLICOURT"
489,"02066","02440","BENAY"
490,"02067","02450","BERGUES SUR SAMBRE"
491,"02068","02250","BERLANCOURT"
492,"02069","02340","BERLISE"
493,"02070","02120","BERNOT"
494,"02071","02290","BERNY RIVIERE"
495,"02072","02820","BERRIEUX"
496,"02073","02190","BERRY AU BAC"
497,"02074","02800","BERTAUCOURT EPOURDON"
498,"02075","02240","BERTHENICOURT"
499,"02076","02190","BERTRICOURT"
500,"02077","02200","BERZY LE SEC"
501,"02078","02300","BESME"
502,"02079","02500","BESMONT"
503,"02080","02870","BESNY ET LOIZY"
504,"02081","02300","BETHANCOURT EN VAUX"
505,"02082","02210","BEUGNEUX"
506,"02083","02130","BEUVARDES"
507,"02084","02310","BEZU LE GUERY"
508,"02085","02400","BEZU ST GERMAIN"
509,"02086","02300","BICHANCOURT"
510,"02087","02290","BIEUXY"
511,"02088","02860","BIEVRES"
512,"02089","02200","BILLY SUR AISNE"
513,"02090","02210","BILLY SUR OURCQ"
514,"02091","02160","BLANZY LES FISMES"
515,"02093","02300","BLERANCOURT"
516,"02094","02400","BLESMES"
517,"02095","02110","BOHAIN EN VERMANDOIS"
518,"02096","02270","BOIS LES PARGNY"
519,"02097","02350","BONCOURT"
520,"02098","02400","BONNEIL"
521,"02099","02400","BONNESVALYN"
522,"02100","02420","BONY"
523,"02101","02250","BOSMONT SUR SERRE"
524,"02102","02860","BOUCONVILLE VAUCLAIR"
